               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018155,           0.0060048,                   0,             0.97644,             0.96383,             0.98335,              0.7955,            0.013402,           0.0029887,                   0,              0.0753,              0.0013,              0.0013
                   1,            0.017928,           0.0058516,                   0,             0.98804,             0.96055,             0.98461,             0.79019,            0.013517,           0.0029232,                   0,            0.049626,           0.0026262,           0.0026262
                   2,            0.019481,           0.0058882,                   0,             0.98784,             0.94441,             0.98463,             0.78968,            0.013554,           0.0030229,                   0,            0.023928,            0.003928,            0.003928
                   3,            0.017917,           0.0059955,                   0,             0.95906,             0.95349,             0.98257,             0.79078,            0.014038,           0.0028569,                   0,            0.004865,            0.004865,            0.004865
                   4,            0.017163,           0.0054902,                   0,             0.95029,             0.97674,             0.98323,             0.80149,            0.013151,           0.0029205,                   0,            0.004865,            0.004865,            0.004865
                   5,            0.017953,           0.0056031,                   0,             0.98778,             0.94021,             0.98341,             0.78045,            0.013291,           0.0029473,                   0,             0.00482,             0.00482,             0.00482
                   6,            0.017509,           0.0055345,                   0,             0.97452,             0.96512,             0.98428,             0.78891,            0.014007,           0.0030864,                   0,            0.004775,            0.004775,            0.004775
                   7,            0.016826,           0.0054807,                   0,             0.99157,             0.95349,             0.98447,             0.79466,             0.01405,           0.0029756,                   0,             0.00473,             0.00473,             0.00473
                   8,            0.017225,           0.0052411,                   0,             0.98393,             0.94186,             0.98154,             0.77129,            0.014677,           0.0030919,                   0,            0.004685,            0.004685,            0.004685
                   9,            0.017994,            0.005391,                   0,             0.97397,             0.96512,             0.98216,             0.78189,             0.01367,           0.0030518,                   0,             0.00464,             0.00464,             0.00464
                  10,            0.016992,           0.0053537,                   0,              0.9853,             0.93023,             0.98043,               0.786,            0.013777,           0.0030636,                   0,            0.004595,            0.004595,            0.004595
                  11,            0.016804,             0.00508,                   0,             0.98681,             0.94186,              0.9832,             0.78005,            0.013936,           0.0031655,                   0,             0.00455,             0.00455,             0.00455
                  12,            0.018757,           0.0058411,                   0,             0.98551,             0.95349,             0.98341,             0.80218,             0.01422,            0.003115,                   0,            0.004505,            0.004505,            0.004505
                  13,            0.017537,            0.005569,                   0,             0.98146,             0.94186,             0.98158,             0.78638,            0.014029,           0.0031847,                   0,             0.00446,             0.00446,             0.00446
                  14,            0.017234,           0.0053843,                   0,              0.9759,             0.94166,             0.98156,             0.80176,            0.013725,           0.0032177,                   0,            0.004415,            0.004415,            0.004415
                  15,            0.016907,           0.0052518,                   0,                   1,             0.92633,              0.9813,              0.7782,            0.014386,           0.0032408,                   0,             0.00437,             0.00437,             0.00437
                  16,            0.017324,           0.0052967,                   0,                   1,             0.91394,             0.98065,             0.78011,             0.01465,           0.0032988,                   0,            0.004325,            0.004325,            0.004325
                  17,            0.015632,           0.0052615,                   0,             0.99492,              0.9186,             0.98147,             0.78599,            0.014819,           0.0032843,                   0,             0.00428,             0.00428,             0.00428
                  18,            0.017182,           0.0055567,                   0,             0.98458,             0.95349,             0.98179,              0.7886,            0.014406,           0.0031756,                   0,            0.004235,            0.004235,            0.004235
