   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.91789,             0.90989,             0.94681,             0.65397,            0.030399,            0.010577,                   0,              0.0093,                0.01,             0.91367,             0.00052,              3.1907,                0.95,             0.16573,             0.05879,             0.39602,             0.87399,              1.0691,              0.7996,                 0.2,              4.9147,                   0,             0.00626,             0.76168,             0.43359,                   0,              0.0823,              0.4896,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.90306,             0.86659,             0.94408,             0.63872,            0.032137,             0.01172,                   0,             0.00857,                0.01,             0.85761,             0.00058,              2.9448,             0.93744,              0.1477,             0.05805,             0.31773,             0.86213,              1.2309,             0.68481,                 0.2,              5.8814,                   0,             0.00634,             0.76168,             0.37984,                   0,             0.08178,              0.4896,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
              0.8935,             0.88372,             0.94992,             0.63426,             0.03228,            0.012583,                   0,             0.00857,                0.01,             0.84578,             0.00056,              2.8555,             0.88019,             0.14048,             0.05612,             0.31614,             0.83185,              1.2961,             0.68584,                 0.2,              5.8814,                   0,             0.00605,             0.76168,             0.38327,                   0,             0.07831,             0.45721,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.92607,             0.87397,             0.95124,             0.62713,            0.029462,            0.012422,                   0,             0.00772,                0.01,             0.84536,             0.00058,              2.4401,                0.95,              0.1477,             0.04969,             0.31671,             0.71801,              1.2309,             0.73612,                 0.2,              5.8814,                   0,             0.00702,             0.72088,             0.43655,                   0,             0.08178,              0.4181,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.86937,             0.85125,             0.92149,              0.6191,            0.035573,            0.011154,                   0,             0.00824,                0.01,             0.85761,             0.00058,              3.1139,                0.95,             0.16609,             0.05569,             0.25767,             0.86213,              1.4481,                 0.5,                 0.2,              6.6444,                   0,             0.00381,             0.80019,             0.41328,                   0,             0.07004,             0.36864,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
              0.8876,             0.91827,             0.94478,             0.63646,            0.032662,            0.012204,                   0,             0.01054,                0.01,             0.88233,             0.00058,               2.301,             0.91952,              0.1477,             0.05628,             0.35237,             0.83019,              1.3058,             0.68481,                 0.2,               6.072,                   0,             0.00558,             0.72098,             0.37984,                   0,             0.09102,             0.47026,                   0,                   0,                   0,                 0.5,             0.89306,                   0,                   0,              2.1244
             0.93862,             0.88905,              0.9524,             0.62067,             0.03129,            0.011908,                   0,             0.00886,              0.0108,             0.82032,             0.00066,               2.742,             0.93744,             0.16209,             0.05339,             0.31103,             0.80996,              1.2309,             0.68481,                 0.2,              6.3668,                   0,             0.00634,             0.67999,             0.37984,                   0,             0.08446,             0.44815,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4105
             0.94682,             0.88372,              0.9458,              0.5649,            0.043403,            0.018663,                   0,             0.00857,             0.01251,             0.95571,             0.00052,              2.4298,                0.95,             0.15496,             0.06049,             0.31773,             0.87533,              1.4199,              1.0236,                 0.2,              7.4601,                   0,             0.00762,             0.55185,             0.37984,                   0,             0.08953,              0.4896,                   0,                   0,                   0,                 0.5,             0.98696,                   0,                   0,                   2
             0.88746,              0.9186,              0.9514,             0.60834,            0.036044,            0.012124,                   0,             0.00855,             0.01027,             0.86119,             0.00059,              2.9811,                0.95,              0.1477,             0.05874,             0.32759,             0.87681,              1.2428,             0.70379,                 0.2,              5.8814,                   0,             0.00634,             0.76168,             0.36775,                   0,              0.0866,             0.47121,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.0763
             0.90885,             0.92751,             0.95713,             0.62531,            0.026142,            0.011922,                   0,             0.00926,             0.01126,             0.82592,             0.00058,              3.1607,                0.95,             0.14767,             0.04047,             0.23642,             0.86213,              1.2309,             0.73851,                 0.2,              7.1151,                   0,             0.00634,             0.64089,             0.37984,                   0,             0.07898,             0.58949,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3827
              0.9279,             0.89789,             0.95609,             0.65236,            0.030407,            0.011788,                   0,             0.00704,             0.01097,             0.85761,             0.00061,              2.9448,                0.95,              0.1477,             0.05242,             0.37676,              1.1597,              1.2219,             0.68481,                 0.2,              7.3631,                   0,             0.00634,             0.73608,             0.47709,                   0,             0.07319,              0.4896,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.92669,             0.88193,             0.93743,             0.59917,            0.031023,            0.011881,                   0,             0.00699,             0.01097,             0.86195,             0.00061,              2.9448,                0.95,             0.14672,             0.05222,             0.37945,              1.1624,              1.2219,             0.68366,                 0.2,               7.401,                   0,             0.00634,              0.7384,             0.47546,                   0,              0.0729,             0.48774,                   0,                   0,                   0,                 0.5,             0.98638,                   0,                   0,                   2
             0.90379,             0.87385,              0.9466,             0.60079,            0.036852,            0.012359,                   0,             0.00559,                0.01,              0.8509,             0.00051,              3.3588,             0.89307,             0.15657,              0.0574,             0.37676,              1.0987,              1.2219,             0.68481,                 0.2,              7.3631,                   0,             0.00638,             0.73608,             0.42251,                   0,             0.07319,              0.4896,                   0,                   0,                   0,                 0.5,              0.9478,                   0,                   0,                   2
             0.92097,             0.83721,             0.93734,             0.60554,            0.037162,            0.013044,                   0,             0.00727,             0.01095,             0.83237,             0.00067,              2.8422,                0.95,              0.1477,             0.05642,             0.40959,              1.1509,              1.2513,             0.77743,                 0.2,              7.0655,                   0,             0.00634,             0.81262,             0.51054,                   0,             0.06675,              0.4896,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.89032,             0.84954,             0.93086,             0.57768,            0.029278,            0.011717,                   0,             0.00704,             0.01174,             0.86148,             0.00061,              2.7765,                0.95,             0.15303,             0.04664,             0.32866,              1.1597,              1.3294,             0.62332,                 0.2,              5.8264,                   0,             0.00634,             0.83541,             0.46224,                   0,             0.06045,              0.4896,                   0,                   0,                   0,                 0.5,             0.92072,                   0,                   0,                   2
             0.93302,              0.8099,              0.9436,             0.57224,            0.038925,            0.011893,                   0,              0.0052,             0.01058,             0.88163,             0.00053,              2.9448,                0.95,              0.1477,             0.05623,             0.48562,              1.3403,              1.2219,              0.6745,                 0.2,               7.883,                   0,             0.00695,                 0.9,             0.47709,                   0,             0.07209,             0.54926,                   0,                   0,                   0,                 0.5,             0.87225,                   0,                   0,                   2
               0.927,             0.89535,             0.94725,              0.6444,            0.029993,            0.011832,                   0,             0.00704,             0.01094,             0.85761,             0.00061,              2.9457,                0.95,              0.1476,             0.05242,             0.37688,              1.1597,              1.2204,             0.68695,                 0.2,              7.3499,                   0,             0.00634,             0.73735,               0.478,                   0,             0.07324,              0.4896,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.89335,             0.83721,             0.93656,             0.60953,            0.029307,            0.012698,                   0,             0.00704,             0.01094,             0.84392,             0.00056,              3.4799,             0.85989,             0.13286,             0.04404,             0.37448,               1.313,              1.2204,             0.75799,                 0.2,              7.6143,                   0,             0.00534,             0.73735,               0.478,                   0,             0.07574,             0.47234,                   0,                   0,                   0,                 0.5,             0.95248,                   0,                   0,                   2
             0.91924,             0.92649,             0.94902,             0.62921,             0.02991,            0.012269,                   0,              0.0068,              0.0112,             0.88635,              0.0005,              2.6701,                0.95,             0.15951,             0.04552,              0.3503,             0.98328,              1.2204,             0.75767,                 0.2,              7.3499,                   0,             0.00442,               0.664,             0.50388,                   0,             0.04553,             0.38805,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.88683,             0.87209,             0.94396,             0.63154,            0.029796,             0.01172,                   0,               0.007,             0.01085,             0.85855,             0.00061,              2.9435,                0.95,             0.14944,             0.05226,             0.37905,              1.1522,               1.205,             0.68481,                 0.2,              7.4229,                   0,             0.00619,             0.73735,             0.46938,                   0,             0.07399,             0.49348,                   0,                   0,                   0,                 0.5,             0.98211,                   0,                   0,                   2
             0.91015,             0.89535,             0.95046,             0.62406,            0.032682,            0.011187,                   0,             0.00705,             0.01078,             0.85857,             0.00061,              2.9457,                0.95,             0.14908,             0.05126,             0.37242,              1.1266,              1.1787,             0.67976,                 0.2,              7.3754,                   0,             0.00634,             0.69958,              0.4696,                   0,             0.07322,             0.50206,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.0035
             0.87578,             0.90183,             0.92801,             0.62621,            0.035526,            0.012889,                   0,             0.00704,             0.01131,             0.90115,             0.00061,              3.4783,             0.89214,             0.14208,             0.05859,             0.40025,              1.2606,              1.2204,              0.6879,                 0.2,               7.871,                   0,             0.00574,             0.65092,             0.49322,                   0,             0.07468,             0.47421,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9454
