               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10954,            0.027289,                   0,             0.45119,              0.2907,             0.35985,             0.11044,             0.06255,            0.013787,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.082043,            0.024156,                   0,             0.65013,             0.60501,             0.72106,             0.34615,            0.043855,            0.011183,                   0,            0.075698,           0.0026982,           0.0026982
                   2,            0.069437,            0.020176,                   0,             0.60865,             0.69767,              0.6726,             0.23286,            0.050203,           0.0076756,                   0,            0.063095,           0.0040946,           0.0040946
                   3,            0.063042,            0.017838,                   0,             0.82391,             0.87209,             0.87212,             0.46716,            0.047912,             0.00653,                   0,            0.050489,           0.0054891,           0.0054891
                   4,            0.057858,            0.017305,                   0,             0.65675,             0.76744,             0.72276,             0.37908,            0.040658,           0.0058844,                   0,            0.037882,           0.0068818,           0.0068818
                   5,            0.052913,            0.015987,                   0,             0.86297,             0.88372,             0.91836,             0.52936,             0.03897,           0.0056472,                   0,            0.025273,           0.0082726,           0.0082726
                   6,            0.049812,            0.015523,                   0,             0.54112,             0.66279,             0.50687,             0.23632,            0.044802,            0.007993,                   0,            0.012662,           0.0096616,           0.0096616
                   7,            0.048067,            0.015385,                   0,             0.49086,             0.60537,             0.59081,             0.30085,            0.040093,           0.0085113,                   0,           0.0099538,           0.0099538,           0.0099538
                   8,            0.044381,            0.015121,                   0,             0.67302,             0.74195,             0.74323,             0.34427,            0.035648,           0.0080357,                   0,           0.0099538,           0.0099538,           0.0099538
                   9,            0.042775,            0.014299,                   0,             0.55566,             0.61628,             0.51439,             0.24154,            0.053914,           0.0082684,                   0,           0.0099472,           0.0099472,           0.0099472
                  10,            0.042206,            0.013562,                   0,              0.7597,             0.73524,             0.71525,             0.33244,            0.038235,           0.0070682,                   0,           0.0099406,           0.0099406,           0.0099406
                  11,            0.040505,            0.013813,                   0,              0.6048,             0.69767,             0.61161,             0.24594,            0.040265,            0.009016,                   0,            0.009934,            0.009934,            0.009934
                  12,             0.03936,             0.01351,                   0,             0.76714,             0.76744,             0.78628,              0.4578,            0.033357,           0.0079336,                   0,           0.0099274,           0.0099274,           0.0099274
                  13,            0.039766,            0.013627,                   0,             0.59513,             0.80233,             0.74557,             0.42437,            0.025896,           0.0076702,                   0,           0.0099208,           0.0099208,           0.0099208
                  14,            0.036842,            0.013099,                   0,             0.80709,             0.82558,             0.87102,             0.53168,            0.029332,           0.0065658,                   0,           0.0099142,           0.0099142,           0.0099142
                  15,            0.036823,            0.013218,                   0,             0.78147,             0.81395,             0.87084,             0.47738,            0.032927,           0.0073342,                   0,           0.0099076,           0.0099076,           0.0099076
                  16,            0.038018,            0.013184,                   0,             0.81269,             0.83721,             0.85698,             0.47261,            0.031248,           0.0063877,                   0,            0.009901,            0.009901,            0.009901
                  17,            0.038334,            0.012639,                   0,             0.90842,             0.81395,             0.91379,             0.51827,            0.025255,           0.0063086,                   0,           0.0098944,           0.0098944,           0.0098944
                  18,            0.036447,            0.012667,                   0,             0.64359,             0.76744,             0.77018,             0.43213,            0.024834,            0.006017,                   0,           0.0098878,           0.0098878,           0.0098878
                  19,            0.035783,            0.012411,                   0,             0.86731,             0.73256,             0.86821,             0.50798,            0.031109,           0.0059993,                   0,           0.0098812,           0.0098812,           0.0098812
                  20,            0.033717,            0.012109,                   0,             0.87225,             0.71459,               0.826,             0.47441,            0.028376,            0.007158,                   0,           0.0098746,           0.0098746,           0.0098746
                  21,            0.033878,            0.011678,                   0,             0.61011,             0.66279,             0.63292,             0.31673,              0.0289,           0.0079324,                   0,            0.009868,            0.009868,            0.009868
                  22,            0.033372,            0.011739,                   0,             0.89964,             0.83386,             0.89887,             0.57504,            0.033867,           0.0054855,                   0,           0.0098614,           0.0098614,           0.0098614
                  23,            0.033042,            0.011563,                   0,             0.51866,              0.7093,             0.59682,             0.29827,            0.039254,           0.0085533,                   0,           0.0098548,           0.0098548,           0.0098548
                  24,            0.032676,            0.011265,                   0,             0.66241,             0.51163,             0.56101,             0.27235,            0.038838,           0.0082321,                   0,           0.0098482,           0.0098482,           0.0098482
                  25,            0.032861,            0.011379,                   0,             0.82535,             0.76933,             0.84438,             0.53914,            0.032384,            0.006299,                   0,           0.0098416,           0.0098416,           0.0098416
                  26,            0.033769,             0.01174,                   0,             0.78034,             0.73256,             0.78668,             0.47465,            0.030633,           0.0075862,                   0,            0.009835,            0.009835,            0.009835
                  27,             0.03134,            0.011381,                   0,             0.90708,             0.79461,             0.88701,             0.54823,            0.028614,           0.0061548,                   0,           0.0098284,           0.0098284,           0.0098284
                  28,            0.032327,            0.011283,                   0,             0.69557,             0.73256,             0.76101,             0.46512,            0.030395,           0.0072415,                   0,           0.0098218,           0.0098218,           0.0098218
                  29,            0.031156,            0.011271,                   0,             0.81667,             0.88058,             0.88859,             0.55516,             0.02962,           0.0062571,                   0,           0.0098152,           0.0098152,           0.0098152
                  30,            0.032918,            0.011378,                   0,             0.87803,             0.77907,             0.90021,             0.55786,            0.027367,           0.0054324,                   0,           0.0098086,           0.0098086,           0.0098086
                  31,            0.031114,            0.011215,                   0,             0.86598,             0.90166,             0.93091,             0.64905,            0.023539,           0.0054226,                   0,            0.009802,            0.009802,            0.009802
                  32,            0.030068,             0.01069,                   0,             0.86315,             0.82558,             0.90372,             0.61231,            0.022431,           0.0056946,                   0,           0.0097954,           0.0097954,           0.0097954
                  33,            0.030258,             0.01072,                   0,             0.84421,             0.88218,             0.92305,             0.59107,            0.024311,           0.0059142,                   0,           0.0097888,           0.0097888,           0.0097888
                  34,            0.030201,            0.010894,                   0,             0.76793,             0.75581,             0.78367,             0.50765,            0.029422,           0.0064318,                   0,           0.0097822,           0.0097822,           0.0097822
