               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11267,            0.021704,                   0,           0.0043368,             0.90698,            0.045695,           0.0092672,             0.10657,            0.010861,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.086533,             0.02002,                   0,             0.48448,             0.59302,             0.56161,             0.24084,            0.053686,           0.0083255,                   0,            0.075698,           0.0026976,           0.0026976
                   2,            0.071614,            0.017727,                   0,             0.62819,             0.74419,             0.73069,              0.2995,            0.046749,           0.0091779,                   0,            0.063093,           0.0040926,           0.0040926
                   3,            0.063658,            0.016776,                   0,              0.5584,              0.8087,             0.68572,             0.29509,            0.044431,           0.0071263,                   0,            0.050485,           0.0054851,           0.0054851
                   4,            0.058461,            0.014603,                   0,             0.68386,             0.77976,             0.80465,              0.3081,            0.043127,           0.0051538,                   0,            0.037875,           0.0068752,           0.0068752
                   5,            0.056258,            0.014642,                   0,             0.72341,             0.81395,             0.78675,             0.39123,            0.042404,           0.0051662,                   0,            0.025263,           0.0082626,           0.0082626
                   6,            0.053162,             0.01371,                   0,             0.59522,             0.55814,             0.57386,             0.21476,            0.044136,           0.0059679,                   0,            0.012648,           0.0096476,           0.0096476
                   7,              0.0515,            0.012982,                   0,             0.61873,             0.74419,             0.65017,             0.29487,            0.040051,           0.0045515,                   0,            0.009937,            0.009937,            0.009937
                   8,            0.049478,            0.012762,                   0,             0.52531,             0.69767,             0.53535,             0.22743,            0.046679,           0.0066814,                   0,            0.009937,            0.009937,            0.009937
                   9,            0.048555,            0.011727,                   0,             0.55026,             0.66279,             0.63692,             0.30966,            0.033902,           0.0080219,                   0,            0.009928,            0.009928,            0.009928
                  10,            0.046742,             0.01182,                   0,             0.79643,              0.7093,             0.81094,             0.39991,            0.031464,           0.0046568,                   0,            0.009919,            0.009919,            0.009919
                  11,            0.044593,            0.011906,                   0,             0.72377,             0.63982,             0.72176,             0.31762,            0.032526,           0.0044824,                   0,             0.00991,             0.00991,             0.00991
                  12,            0.044905,            0.011939,                   0,             0.82042,             0.79686,             0.85958,             0.53298,            0.028521,           0.0044619,                   0,            0.009901,            0.009901,            0.009901
                  13,            0.043884,            0.011557,                   0,              0.7933,             0.80233,             0.85944,             0.50034,            0.032347,           0.0042242,                   0,            0.009892,            0.009892,            0.009892
                  14,              0.0428,            0.011636,                   0,             0.70275,             0.65116,             0.71202,             0.29038,            0.035083,           0.0049384,                   0,            0.009883,            0.009883,            0.009883
                  15,            0.042953,            0.010662,                   0,             0.72441,             0.65116,             0.73415,               0.351,            0.035126,           0.0057757,                   0,            0.009874,            0.009874,            0.009874
                  16,            0.041552,            0.011115,                   0,             0.61874,             0.59302,             0.61343,             0.25704,            0.040615,           0.0053075,                   0,            0.009865,            0.009865,            0.009865
                  17,            0.042095,            0.011034,                   0,             0.74785,             0.82769,               0.813,             0.47436,            0.033547,           0.0046907,                   0,            0.009856,            0.009856,            0.009856
                  18,            0.040464,            0.010861,                   0,             0.71515,             0.72093,             0.80144,             0.46576,            0.032791,            0.004796,                   0,            0.009847,            0.009847,            0.009847
                  19,            0.039435,            0.010982,                   0,             0.66245,             0.63897,             0.69785,             0.41197,            0.029343,           0.0049108,                   0,            0.009838,            0.009838,            0.009838
                  20,            0.040962,            0.010871,                   0,             0.73949,              0.7922,              0.8172,             0.50281,            0.029031,           0.0043614,                   0,            0.009829,            0.009829,            0.009829
                  21,            0.038664,            0.010722,                   0,             0.71069,             0.79982,             0.83526,             0.51006,            0.026612,           0.0045258,                   0,             0.00982,             0.00982,             0.00982
                  22,            0.038939,            0.010748,                   0,             0.78599,             0.72603,             0.76587,             0.41998,            0.038652,           0.0045475,                   0,            0.009811,            0.009811,            0.009811
                  23,            0.040054,            0.011103,                   0,             0.70203,             0.81395,             0.84574,             0.50252,            0.025102,           0.0044484,                   0,            0.009802,            0.009802,            0.009802
                  24,            0.039285,            0.010292,                   0,             0.72659,             0.65116,             0.66734,             0.32192,            0.031756,            0.005295,                   0,            0.009793,            0.009793,            0.009793
                  25,            0.037057,            0.010153,                   0,             0.87353,             0.86047,              0.9052,             0.57625,            0.023953,           0.0038864,                   0,            0.009784,            0.009784,            0.009784
                  26,             0.03636,            0.010479,                   0,             0.91367,             0.76744,             0.86918,             0.60133,            0.024044,           0.0038704,                   0,            0.009775,            0.009775,            0.009775
                  27,            0.038188,           0.0097896,                   0,             0.70509,             0.59302,             0.64204,             0.35396,            0.038026,           0.0052333,                   0,            0.009766,            0.009766,            0.009766
                  28,            0.039109,            0.010491,                   0,             0.81633,             0.82558,             0.85792,               0.478,            0.036941,            0.004429,                   0,            0.009757,            0.009757,            0.009757
                  29,             0.03805,            0.010123,                   0,             0.82529,             0.80233,             0.88277,             0.53886,            0.023328,           0.0039163,                   0,            0.009748,            0.009748,            0.009748
                  30,            0.036945,           0.0092713,                   0,             0.50732,             0.53884,             0.44552,             0.18963,            0.066261,           0.0058975,                   0,            0.009739,            0.009739,            0.009739
                  31,              0.0369,           0.0097629,                   0,             0.85993,             0.84884,             0.89657,              0.5639,            0.025524,           0.0039477,                   0,             0.00973,             0.00973,             0.00973
                  32,            0.037193,           0.0098105,                   0,              0.8445,             0.83721,             0.88973,             0.54259,            0.028457,           0.0043097,                   0,            0.009721,            0.009721,            0.009721
                  33,            0.036208,           0.0099421,                   0,             0.71566,             0.73166,             0.79357,             0.40101,             0.02741,           0.0047106,                   0,            0.009712,            0.009712,            0.009712
                  34,             0.03738,            0.010036,                   0,             0.80664,             0.82465,             0.89065,              0.5483,            0.028926,           0.0039125,                   0,            0.009703,            0.009703,            0.009703
                  35,            0.037899,            0.010126,                   0,             0.83909,             0.86047,             0.91923,             0.60798,            0.021248,            0.003716,                   0,            0.009694,            0.009694,            0.009694
                  36,            0.035736,           0.0099254,                   0,             0.85687,             0.77907,             0.89838,             0.56766,            0.027637,           0.0040014,                   0,            0.009685,            0.009685,            0.009685
                  37,            0.036318,           0.0099508,                   0,              0.8316,             0.86132,             0.88055,             0.59116,            0.026332,           0.0038242,                   0,            0.009676,            0.009676,            0.009676
                  38,            0.034878,           0.0095065,                   0,             0.80245,             0.85022,             0.88532,             0.61562,            0.023396,           0.0036313,                   0,            0.009667,            0.009667,            0.009667
                  39,            0.034748,           0.0095465,                   0,             0.82171,              0.8039,             0.88332,             0.59676,             0.02141,           0.0036443,                   0,            0.009658,            0.009658,            0.009658
                  40,            0.035928,           0.0096117,                   0,             0.90658,             0.90271,             0.95619,             0.63048,            0.021469,           0.0035068,                   0,            0.009649,            0.009649,            0.009649
                  41,             0.03474,           0.0091003,                   0,             0.79458,             0.84884,             0.87171,             0.54625,              0.0274,            0.004186,                   0,             0.00964,             0.00964,             0.00964
                  42,            0.035596,            0.010083,                   0,              0.9017,             0.81395,             0.89951,              0.6056,            0.028294,           0.0038285,                   0,            0.009631,            0.009631,            0.009631
                  43,              0.0348,           0.0096102,                   0,             0.87687,             0.74528,             0.84901,             0.50473,            0.029452,            0.004302,                   0,            0.009622,            0.009622,            0.009622
                  44,            0.034734,           0.0096179,                   0,             0.89131,              0.9186,             0.95221,             0.63563,            0.024445,           0.0034483,                   0,            0.009613,            0.009613,            0.009613
                  45,            0.035072,           0.0097082,                   0,             0.92313,             0.83779,             0.94055,             0.61809,            0.026113,           0.0036047,                   0,            0.009604,            0.009604,            0.009604
                  46,            0.034264,           0.0096605,                   0,             0.91345,             0.81395,             0.92577,             0.64076,            0.025972,           0.0037019,                   0,            0.009595,            0.009595,            0.009595
                  47,            0.034071,           0.0095311,                   0,             0.90346,              0.9186,             0.96496,             0.62807,             0.02651,           0.0036583,                   0,            0.009586,            0.009586,            0.009586
                  48,            0.034564,           0.0093568,                   0,             0.81119,             0.69944,              0.8057,             0.43298,            0.030018,           0.0047463,                   0,            0.009577,            0.009577,            0.009577
                  49,            0.034164,           0.0095254,                   0,             0.86944,             0.84884,              0.9334,             0.58921,            0.024659,           0.0038058,                   0,            0.009568,            0.009568,            0.009568
                  50,            0.033235,           0.0092534,                   0,             0.88837,             0.83288,             0.91323,             0.60353,            0.030374,           0.0037623,                   0,            0.009559,            0.009559,            0.009559
                  51,            0.033886,           0.0093255,                   0,             0.83727,             0.89535,             0.90212,              0.6209,            0.025118,           0.0037654,                   0,             0.00955,             0.00955,             0.00955
                  52,            0.032194,           0.0088362,                   0,             0.87922,             0.88372,             0.92136,             0.59411,            0.020355,           0.0041528,                   0,            0.009541,            0.009541,            0.009541
                  53,            0.033394,           0.0088685,                   0,             0.84963,             0.91983,              0.9238,             0.67409,            0.020968,           0.0032634,                   0,            0.009532,            0.009532,            0.009532
                  54,            0.032579,           0.0092987,                   0,             0.85981,             0.81395,              0.8954,             0.60574,            0.028124,           0.0037436,                   0,            0.009523,            0.009523,            0.009523
                  55,            0.032345,           0.0097191,                   0,             0.93272,             0.89535,             0.94355,             0.61193,            0.022352,           0.0037342,                   0,            0.009514,            0.009514,            0.009514
                  56,            0.032942,           0.0092005,                   0,             0.90318,              0.8678,             0.92716,             0.61682,            0.021449,           0.0036538,                   0,            0.009505,            0.009505,            0.009505
                  57,            0.032754,           0.0092059,                   0,             0.86477,             0.81796,             0.89851,             0.59174,            0.024669,           0.0039378,                   0,            0.009496,            0.009496,            0.009496
                  58,            0.032354,           0.0093977,                   0,             0.88941,              0.9352,             0.93685,             0.63623,            0.021141,           0.0037513,                   0,            0.009487,            0.009487,            0.009487
                  59,             0.03198,           0.0089155,                   0,             0.85283,             0.87209,             0.92404,             0.61557,            0.022858,           0.0037696,                   0,            0.009478,            0.009478,            0.009478
                  60,             0.03287,           0.0094917,                   0,             0.79002,             0.82558,             0.88635,             0.56264,            0.026028,           0.0041031,                   0,            0.009469,            0.009469,            0.009469
                  61,            0.033185,           0.0087757,                   0,             0.76505,              0.7907,             0.83527,             0.56399,            0.027127,           0.0042264,                   0,             0.00946,             0.00946,             0.00946
                  62,            0.032286,           0.0091744,                   0,             0.79189,             0.87209,             0.87683,             0.57243,            0.027509,           0.0040174,                   0,            0.009451,            0.009451,            0.009451
                  63,            0.032218,           0.0089805,                   0,             0.86996,             0.93354,             0.94373,             0.66255,            0.025624,           0.0036319,                   0,            0.009442,            0.009442,            0.009442
                  64,            0.031992,           0.0091249,                   0,              0.7392,             0.79097,             0.80443,             0.48566,            0.027602,           0.0046627,                   0,            0.009433,            0.009433,            0.009433
                  65,            0.031741,           0.0092363,                   0,             0.84064,              0.7361,              0.8708,             0.56462,            0.027846,           0.0039121,                   0,            0.009424,            0.009424,            0.009424
                  66,            0.032912,           0.0092032,                   0,             0.69226,             0.78474,             0.81171,             0.44835,            0.029877,           0.0047256,                   0,            0.009415,            0.009415,            0.009415
                  67,            0.031707,           0.0089683,                   0,             0.91609,             0.88867,             0.94105,              0.6439,            0.019773,           0.0034684,                   0,            0.009406,            0.009406,            0.009406
                  68,            0.032615,            0.008928,                   0,             0.81002,             0.89243,             0.92908,             0.68005,            0.023823,           0.0035857,                   0,            0.009397,            0.009397,            0.009397
                  69,            0.031314,           0.0086885,                   0,             0.87424,             0.88922,             0.93322,             0.68605,            0.019889,           0.0033756,                   0,            0.009388,            0.009388,            0.009388
                  70,            0.031697,           0.0086227,                   0,             0.87919,             0.84626,              0.9098,             0.65656,            0.020251,           0.0039262,                   0,            0.009379,            0.009379,            0.009379
                  71,            0.031865,           0.0091081,                   0,             0.89117,             0.85696,             0.92555,             0.62313,            0.020587,           0.0036765,                   0,             0.00937,             0.00937,             0.00937
                  72,            0.031788,           0.0095035,                   0,             0.90187,             0.85501,             0.92579,              0.6242,            0.026474,           0.0036553,                   0,            0.009361,            0.009361,            0.009361
                  73,            0.031521,           0.0086539,                   0,             0.90991,             0.93961,             0.95794,             0.64233,            0.021744,           0.0038052,                   0,            0.009352,            0.009352,            0.009352
                  74,            0.032438,            0.009493,                   0,             0.77062,             0.93756,             0.90223,             0.62501,            0.021369,           0.0036469,                   0,            0.009343,            0.009343,            0.009343
                  75,            0.032122,           0.0087807,                   0,              0.8842,             0.84884,             0.92807,             0.61645,            0.022502,           0.0038018,                   0,            0.009334,            0.009334,            0.009334
                  76,            0.031835,           0.0089997,                   0,             0.86167,             0.86917,             0.90337,             0.61089,            0.020651,           0.0036184,                   0,            0.009325,            0.009325,            0.009325
                  77,            0.031723,            0.008505,                   0,              0.8596,              0.9255,             0.94464,              0.6588,            0.020384,           0.0034772,                   0,            0.009316,            0.009316,            0.009316
                  78,            0.031508,           0.0087772,                   0,             0.91683,              0.9186,             0.96759,              0.6184,            0.022231,           0.0037499,                   0,            0.009307,            0.009307,            0.009307
                  79,            0.031098,           0.0091891,                   0,             0.92785,             0.90698,             0.95755,             0.72249,            0.021683,           0.0030385,                   0,            0.009298,            0.009298,            0.009298
                  80,             0.03179,            0.008738,                   0,             0.85593,             0.87209,             0.90884,             0.63952,            0.022274,           0.0034622,                   0,            0.009289,            0.009289,            0.009289
                  81,            0.031195,           0.0086084,                   0,             0.90714,             0.88372,             0.94725,             0.63494,            0.020805,           0.0035144,                   0,             0.00928,             0.00928,             0.00928
                  82,            0.030868,           0.0089907,                   0,             0.93623,             0.85359,             0.94735,             0.67122,            0.021622,           0.0034407,                   0,            0.009271,            0.009271,            0.009271
                  83,            0.031111,           0.0091262,                   0,             0.87394,             0.88676,             0.93596,             0.67753,            0.021262,           0.0034857,                   0,            0.009262,            0.009262,            0.009262
                  84,            0.030821,           0.0086306,                   0,             0.91284,             0.89535,             0.94129,             0.70724,            0.023735,           0.0030927,                   0,            0.009253,            0.009253,            0.009253
                  85,            0.030949,           0.0090595,                   0,             0.89112,             0.89535,             0.93143,             0.69154,            0.024618,           0.0033369,                   0,            0.009244,            0.009244,            0.009244
                  86,            0.030798,           0.0084991,                   0,             0.91099,             0.87209,             0.95223,             0.72832,             0.02268,           0.0032337,                   0,            0.009235,            0.009235,            0.009235
                  87,            0.030811,           0.0082895,                   0,             0.91549,             0.88181,             0.90866,             0.66398,            0.023337,            0.003467,                   0,            0.009226,            0.009226,            0.009226
                  88,            0.030889,           0.0088434,                   0,             0.77803,             0.85591,             0.84897,             0.54162,            0.025905,           0.0042711,                   0,            0.009217,            0.009217,            0.009217
                  89,            0.029781,            0.008852,                   0,             0.97389,             0.86731,             0.95035,             0.69354,             0.02096,           0.0033949,                   0,            0.009208,            0.009208,            0.009208
                  90,            0.031757,           0.0091212,                   0,             0.91391,             0.86412,             0.94874,             0.65136,            0.021317,           0.0033465,                   0,            0.009199,            0.009199,            0.009199
                  91,            0.029598,           0.0083777,                   0,             0.92797,             0.89882,             0.94551,             0.65704,            0.022168,           0.0035982,                   0,             0.00919,             0.00919,             0.00919
                  92,            0.029099,           0.0089918,                   0,             0.93247,             0.84884,             0.94791,             0.64443,            0.019832,            0.003681,                   0,            0.009181,            0.009181,            0.009181
                  93,            0.029325,            0.008685,                   0,             0.88133,             0.88372,             0.92702,             0.61684,            0.021264,           0.0038597,                   0,            0.009172,            0.009172,            0.009172
                  94,             0.02973,           0.0083605,                   0,             0.82124,             0.90816,             0.92496,             0.63963,            0.019429,           0.0036795,                   0,            0.009163,            0.009163,            0.009163
                  95,            0.029643,           0.0082824,                   0,             0.95214,             0.90698,             0.97493,             0.68834,            0.019914,            0.003204,                   0,            0.009154,            0.009154,            0.009154
                  96,            0.030632,           0.0085368,                   0,              0.9037,             0.93023,             0.96225,             0.68775,            0.022091,           0.0034307,                   0,            0.009145,            0.009145,            0.009145
                  97,            0.030029,           0.0082075,                   0,             0.95042,             0.89167,             0.95924,             0.66863,            0.020699,            0.003296,                   0,            0.009136,            0.009136,            0.009136
                  98,            0.029699,           0.0082694,                   0,             0.95612,             0.86047,             0.94982,             0.64688,            0.022865,           0.0035648,                   0,            0.009127,            0.009127,            0.009127
                  99,            0.029967,           0.0086457,                   0,             0.84484,             0.82311,             0.90783,             0.62741,            0.021085,           0.0039585,                   0,            0.009118,            0.009118,            0.009118
                 100,            0.029415,            0.008475,                   0,              0.8685,             0.92161,             0.93274,             0.66794,            0.020033,           0.0034542,                   0,            0.009109,            0.009109,            0.009109
                 101,            0.029508,           0.0080517,                   0,             0.87787,             0.95349,             0.95735,             0.68081,            0.019083,           0.0033994,                   0,              0.0091,              0.0091,              0.0091
                 102,            0.029958,           0.0084445,                   0,             0.86415,             0.87209,             0.90956,             0.61978,            0.024481,           0.0040395,                   0,            0.009091,            0.009091,            0.009091
                 103,             0.03035,           0.0083475,                   0,             0.90905,             0.81358,             0.89136,             0.61092,            0.023101,           0.0037613,                   0,            0.009082,            0.009082,            0.009082
                 104,            0.028697,           0.0084672,                   0,             0.92094,              0.9186,             0.96562,             0.67542,            0.018817,           0.0033369,                   0,            0.009073,            0.009073,            0.009073
                 105,            0.030119,             0.00832,                   0,               0.908,             0.91807,             0.96977,             0.69443,            0.019522,           0.0033212,                   0,            0.009064,            0.009064,            0.009064
                 106,            0.029232,           0.0085956,                   0,             0.88779,             0.82798,             0.92509,             0.66284,            0.021806,           0.0033846,                   0,            0.009055,            0.009055,            0.009055
                 107,            0.028885,           0.0087235,                   0,             0.86505,             0.89447,             0.91929,              0.6253,            0.021693,           0.0035695,                   0,            0.009046,            0.009046,            0.009046
                 108,            0.029296,           0.0086207,                   0,             0.90089,             0.84556,             0.93232,             0.63177,             0.01952,           0.0038702,                   0,            0.009037,            0.009037,            0.009037
                 109,            0.028769,           0.0087226,                   0,             0.81141,             0.90053,             0.93054,              0.6401,             0.02032,            0.003566,                   0,            0.009028,            0.009028,            0.009028
                 110,            0.030499,           0.0090881,                   0,             0.81029,             0.94363,             0.92755,             0.70047,            0.019014,           0.0032012,                   0,            0.009019,            0.009019,            0.009019
                 111,            0.028379,           0.0081372,                   0,             0.87633,             0.83721,             0.90788,             0.58325,            0.021892,           0.0037823,                   0,             0.00901,             0.00901,             0.00901
                 112,            0.029045,            0.008899,                   0,             0.85888,             0.92001,             0.93194,             0.59353,            0.022529,           0.0036221,                   0,            0.009001,            0.009001,            0.009001
                 113,            0.027864,           0.0081271,                   0,              0.8293,             0.84884,             0.90956,             0.51906,            0.023034,           0.0042124,                   0,            0.008992,            0.008992,            0.008992
                 114,            0.028842,            0.008562,                   0,             0.88526,             0.90698,              0.9392,              0.6503,            0.018767,           0.0038572,                   0,            0.008983,            0.008983,            0.008983
                 115,            0.027892,           0.0082709,                   0,             0.88798,             0.89535,             0.93303,             0.69885,             0.02045,           0.0034956,                   0,            0.008974,            0.008974,            0.008974
                 116,             0.02935,           0.0085639,                   0,             0.86902,             0.94186,             0.96233,             0.71346,            0.021191,           0.0032326,                   0,            0.008965,            0.008965,            0.008965
                 117,            0.029312,           0.0088833,                   0,              0.9227,             0.89535,             0.96004,             0.71956,            0.017744,           0.0033964,                   0,            0.008956,            0.008956,            0.008956
                 118,            0.027872,           0.0079911,                   0,             0.94856,             0.85778,             0.93941,             0.69068,            0.021982,           0.0034515,                   0,            0.008947,            0.008947,            0.008947
                 119,            0.029335,           0.0079267,                   0,             0.90834,             0.92191,             0.94441,             0.70436,            0.023309,           0.0034068,                   0,            0.008938,            0.008938,            0.008938
                 120,            0.028672,           0.0083848,                   0,             0.88893,             0.81395,             0.91422,             0.63039,             0.02514,           0.0038913,                   0,            0.008929,            0.008929,            0.008929
                 121,            0.028718,           0.0085483,                   0,             0.91359,              0.7907,             0.90665,             0.60637,            0.024133,           0.0039073,                   0,             0.00892,             0.00892,             0.00892
                 122,            0.029616,           0.0083619,                   0,             0.90556,             0.89195,             0.94863,             0.70781,            0.019722,           0.0033632,                   0,            0.008911,            0.008911,            0.008911
                 123,             0.02704,           0.0080112,                   0,             0.97297,             0.89535,             0.95636,             0.72311,            0.023093,           0.0033826,                   0,            0.008902,            0.008902,            0.008902
                 124,            0.027713,           0.0080081,                   0,             0.88041,             0.94167,             0.94993,             0.69011,            0.024274,           0.0034617,                   0,            0.008893,            0.008893,            0.008893
                 125,            0.028299,           0.0079316,                   0,             0.80639,             0.87178,             0.88801,             0.60554,            0.022443,           0.0040073,                   0,            0.008884,            0.008884,            0.008884
                 126,            0.026351,           0.0076191,                   0,             0.89175,             0.86208,             0.92501,             0.70596,            0.021147,           0.0034487,                   0,            0.008875,            0.008875,            0.008875
                 127,            0.028514,           0.0080764,                   0,             0.86903,             0.87209,             0.93856,             0.69188,            0.019395,           0.0032794,                   0,            0.008866,            0.008866,            0.008866
                 128,             0.02757,            0.008329,                   0,             0.92824,             0.90253,              0.9569,             0.71603,             0.02174,           0.0032361,                   0,            0.008857,            0.008857,            0.008857
                 129,             0.02726,           0.0084886,                   0,             0.92425,              0.9186,             0.94422,             0.71517,            0.021596,           0.0032696,                   0,            0.008848,            0.008848,            0.008848
                 130,            0.027756,           0.0074547,                   0,              0.8938,             0.89535,             0.92979,             0.67643,            0.018914,           0.0036091,                   0,            0.008839,            0.008839,            0.008839
                 131,             0.02848,           0.0079593,                   0,             0.91458,             0.89535,             0.94171,             0.70049,            0.019151,           0.0034193,                   0,             0.00883,             0.00883,             0.00883
                 132,            0.026465,            0.007432,                   0,             0.97793,             0.86047,             0.95276,             0.70389,            0.019176,           0.0035101,                   0,            0.008821,            0.008821,            0.008821
                 133,            0.028268,           0.0078596,                   0,              0.9291,             0.87209,             0.95337,             0.68904,            0.018861,           0.0034757,                   0,            0.008812,            0.008812,            0.008812
                 134,            0.027279,           0.0081334,                   0,             0.81566,             0.92611,             0.94353,             0.72094,            0.018603,           0.0032516,                   0,            0.008803,            0.008803,            0.008803
                 135,            0.027959,           0.0080523,                   0,             0.88603,             0.90398,             0.92512,             0.71189,            0.021391,           0.0033999,                   0,            0.008794,            0.008794,            0.008794
                 136,            0.027699,            0.007776,                   0,             0.94973,             0.83721,             0.93882,             0.69614,            0.018878,           0.0034796,                   0,            0.008785,            0.008785,            0.008785
                 137,            0.027537,           0.0079874,                   0,             0.89581,             0.87209,             0.90639,             0.66832,            0.021649,           0.0036483,                   0,            0.008776,            0.008776,            0.008776
                 138,            0.027373,           0.0078606,                   0,             0.93365,              0.8182,             0.90449,             0.63703,            0.024367,           0.0038597,                   0,            0.008767,            0.008767,            0.008767
                 139,            0.027857,           0.0078863,                   0,             0.98539,             0.87209,             0.96986,             0.69721,              0.0207,           0.0034385,                   0,            0.008758,            0.008758,            0.008758
                 140,             0.02803,           0.0080868,                   0,             0.86824,             0.91945,             0.93364,             0.67993,            0.019363,           0.0035608,                   0,            0.008749,            0.008749,            0.008749
                 141,            0.027139,           0.0079769,                   0,             0.83357,             0.81535,             0.88346,             0.60784,            0.021694,           0.0042726,                   0,             0.00874,             0.00874,             0.00874
                 142,            0.027666,           0.0083984,                   0,             0.89493,             0.93023,             0.94766,             0.69566,             0.02012,           0.0036304,                   0,            0.008731,            0.008731,            0.008731
                 143,            0.027139,           0.0076613,                   0,             0.96257,             0.89708,              0.9682,             0.70914,            0.017005,           0.0033447,                   0,            0.008722,            0.008722,            0.008722
                 144,            0.027823,           0.0086887,                   0,             0.94768,             0.90698,             0.96679,             0.73089,            0.015903,           0.0032357,                   0,            0.008713,            0.008713,            0.008713
                 145,            0.027668,           0.0081629,                   0,             0.91681,             0.94186,             0.97026,             0.70112,             0.01629,           0.0032669,                   0,            0.008704,            0.008704,            0.008704
                 146,            0.027106,           0.0077007,                   0,             0.94398,              0.7907,             0.92225,             0.65624,            0.018488,           0.0035266,                   0,            0.008695,            0.008695,            0.008695
                 147,            0.026881,           0.0077327,                   0,             0.90648,             0.89535,             0.95558,             0.68919,            0.021232,           0.0034318,                   0,            0.008686,            0.008686,            0.008686
                 148,            0.027238,           0.0080733,                   0,             0.90679,             0.87209,             0.95333,             0.68315,            0.019615,           0.0034135,                   0,            0.008677,            0.008677,            0.008677
                 149,            0.028016,           0.0079494,                   0,             0.85901,             0.93023,             0.94774,             0.68685,            0.019308,           0.0033604,                   0,            0.008668,            0.008668,            0.008668
                 150,            0.027529,           0.0076998,                   0,             0.93691,             0.86336,             0.96314,             0.68819,            0.021855,           0.0034158,                   0,            0.008659,            0.008659,            0.008659
                 151,            0.027155,           0.0076311,                   0,              0.9299,             0.88372,             0.95273,             0.68572,            0.017673,           0.0034585,                   0,             0.00865,             0.00865,             0.00865
